SourceElementKey,BlockfaceName,SideOfStreet,ParkingTimeLimitCategory,ParkingSpaceCount,PaidParkingArea,PaidParkingSubArea,PaidParkingRate,ParkingCategory,longitude,latitude
81305,VIRGINIA ST BETWEEN TERRY AVE AND FAIRVIEW AVE,NW,240,4,Denny Triangle,North,,Paid Parking,122.3346373,47.61735962
13526,WESTERN AVE BETWEEN BAY ST AND QUEEN ANNE AVE,NE,240,4,Belltown,North,,Paid Parking,122.35633431,47.61810239
10802,HARRISON ST BETWEEN PONTIUS AVE N AND YALE AVE N,S,120,6,South Lake Union,South,,Paid Parking,122.33105357,47.62190148
33518,HARRISON ST BETWEEN MINOR AVE N AND PONTIUS AVE N,S,120,9,South Lake Union,South,,Restricted Parking Zone,122.33237107,47.6219051
36358,YESLER WAY BETWEEN TERRACE ST AND 6TH AVE,S,120,24,Commercial Core,Financial,,Paid Parking,122.32775122,47.60165816
54954,CEDAR ST BETWEEN 2ND AVE AND 3RD AVE,SE,240,5,Belltown,North,,Paid Parking,122.34924775,47.61673547
2781,2ND AVE BETWEEN WALL ST AND VINE ST,SW,240,8,Belltown,North,,Paid Parking,122.3484389,47.61558515
36357,YESLER WAY BETWEEN TERRACE ST AND 6TH AVE,N,120,16,Commercial Core,Financial,,Paid Parking,122.32758439,47.60176899
35505,SPRING ST BETWEEN BOYLSTON AVE AND HARVARD AVE,NW,120,8,First Hill,,,Paid Parking,122.32193846,47.61172442
78937,HOWELL ST BETWEEN BOREN AVE AND MINOR AVE,NW,240,5,Denny Triangle,North,,Paid Parking,122.33105726,47.61655931
43057,S KING ST BETWEEN 5TH AVE S AND 6TH AVE S,N,120,6,Chinatown/ID,Edge,,Paid Parking,122.32701506,47.59841242
34937,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,120,5,Uptown,Core,,Paid Parking,122.35680791,47.62391792
13297,VINE ST BETWEEN 5TH AVE AND DENNY WAY,NW,240,3,Belltown,North,,Paid Parking,122.34589435,47.61829176
32490,CLAY ST BETWEEN 2ND AVE AND 3RD AVE,SE,240,9,Belltown,North,,Paid Parking,122.3501629,47.61730189
76718,ALOHA ST BETWEEN DEXTER AVE N AND 8TH AVE N,S,600,8,South Lake Union,North,,Paid Parking,122.3416596,47.6270675
58446,THOMAS ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,S,120,7,South Lake Union,South,,Paid Parking,122.33915414,47.62080537
14677,E PIKE ST BETWEEN 11TH AVE AND 12TH AVE,N,120,9,Pike-Pine,,,Paid Parking,122.31748749,47.61417039
